Kab/Kota Provinsi Sulawesi Utara (71)
=========================
Kode	Nama Kab/Kota
=========================
01 	BOLAANG MONGONDOW	
02 	MINAHASA
03 	KEPULAUAN SANGIHE
04 	KEPULAUAN TALAUD
05 	MINAHASA SELATAN
06 	MINAHASA UTARA
07 	BOLAANG MONGONDOW UTARA
08 	SIAU TAGULANDANG BIARO
09 	MINAHASA TENGGARA	
10 	BOLAANG MONGONDOW SELATAN
11 	BOLAANG MONGONDOW TIMUR
71 	MANADO	
72 	BITUNG	
73 	TOMOHON	
74 	KOTAMOBAGU
