Kab/Kota Provinsi Sulawesi Selatan (73)
=========================
Kode	Nama Kab/Kota
=========================
01 	KEPULAUAN SELAYAR	
02 	BULUKUMBA	
03 	BANTAENG	
04 	JENEPONTO
05 	TAKALAR
06 	GOWA	18	
07 	SINJAI	
08 	MAROS	
09 	PANGKAJENE DAN KEPULAUAN	
10 	BARRU	
11 	BONE
12 	SOPPENG	
13 	WAJO
14 	SIDENRENG RAPPANG
15 	PINRANG	
16 	ENREKANG	
17 	LUWU
18 	TANA TORAJA	
22 	LUWU UTARA	
25 	LUWU TIMUR
26 	TORAJA UTARA
71 	MAKASSAR
72 	PAREPARE
73 	PALOPO
